#airline_name	IATA_country_source	airport_source	IATA_destination_country	destination_country
2B	Russia	AER	Russia	KZN
2B	Russia	ASF	Russia	KZN
2B	Russia	ASF	Russia	MRV
2B	Russia	CEK	Russia	KZN
2B	Russia	CEK	Russia	OVB
2B	Russia	DME	Russia	KZN
2B	Russia	DME	Russia	NBC
2B	Russia	DME	Russia	TGK
2B	Russia	DME	Russia	UUA
2B	Russia	EGO	Russia	KGD
2B	Russia	EGO	Russia	KZN
2B	Azerbaijan	GYD	Russia	NBC
2B	Russia	KGD	Russia	EGO
2B	Russia	KZN	Russia	AER
2B	Russia	KZN	Russia	ASF
2B	Russia	KZN	Russia	CEK
2B	Russia	KZN	Russia	DME
2B	Russia	KZN	Russia	EGO
2B	Russia	KZN	Russia	LED
2B	Russia	KZN	Russia	SVX
2B	Russia	LED	Russia	KZN
2B	Russia	LED	Russia	NBC
2B	Russia	LED	Russia	UUA
2B	Russia	MRV	Russia	ASF
2B	Russia	NBC	Russia	DME
2B	Russia	NBC	Azerbaijan	GYD
2B	Russia	NBC	Russia	LED
2B	Russia	NBC	Russia	SVX
2B	Russia	NJC	Russia	SVX
2B	Russia	NJC	Russia	UUA
2B	Russia	NUX	Russia	SVX
2B	Russia	OVB	Russia	CEK
2B	Russia	OVB	Russia	SVX
2B	Russia	SVX	Russia	KZN
2B	Russia	SVX	Russia	NBC
2B	Russia	SVX	Russia	NJC
2B	Russia	SVX	Russia	NUX
2B	Russia	SVX	Russia	OVB
2B	Russia	TGK	Russia	DME
2B	Russia	UUA	Russia	DME
2B	Russia	UUA	Russia	LED
2B	Russia	UUA	Russia	NJC
2G	Russia	BTK	Russia	IKT
2G	Russia	BTK	Russia	OVB
2G	Russia	CEK	Russia	OVB
2G	Russia	HTA	Russia	IKT
2G	Russia	IKT	Russia	BTK
2G	Russia	IKT	Russia	HTA
2G	Russia	IKT	Russia	KCK
2G	Russia	IKT	Russia	ODO
2G	Russia	IKT	Russia	OVB
2G	Russia	IKT	Russia	UKX
2G	Russia	IKT	Russia	ULK
2G	Russia	IKT	Russia	YKS
2G	Russia	KCK	Russia	IKT
2G	Russia	MJZ	Russia	OVB
2G	Russia	ODO	Russia	IKT
2G	Russia	OVB	Russia	BTK
2G	Russia	OVB	Russia	CEK
2G	Russia	OVB	Russia	IKT
2G	Russia	UKX	Russia	IKT
2G	Russia	ULK	Russia	IKT
2G	Russia	YKS	Russia	IKT
2I	Peru	AYP	Peru	LIM
2I	Peru	CUZ	Peru	LIM
2I	Peru	CUZ	Peru	PEM
2I	Peru	HUU	Peru	LIM
2I	Peru	IQT	Peru	PCL
2I	Peru	IQT	Peru	TPP
2I	Peru	LIM	Peru	AYP
2I	Peru	LIM	Peru	CUZ
2I	Peru	LIM	Peru	HUU
2I	Peru	LIM	Peru	PCL
2I	Peru	LIM	Peru	TPP
2I	Peru	PCL	Peru	IQT
2I	Peru	PCL	Peru	LIM
2I	Peru	PCL	Peru	TPP
2I	Peru	PEM	Peru	CUZ
2I	Peru	TPP	Peru	IQT
2I	Peru	TPP	Peru	LIM
2I	Peru	TPP	Peru	PCL
2J	Cote d'Ivoire	ABJ	Burkina Faso	BOY
2J	Cote d'Ivoire	ABJ	Burkina Faso	OUA
2J	Ghana	ACC	Burkina Faso	OUA
2J	Mali	BKO	Cote d'Ivoire	ABJ
2J	Mali	BKO	Senegal	DKR
2J	Mali	BKO	Burkina Faso	OUA
2J	Burkina Faso	BOY	Cote d'Ivoire	ABJ
2J	Burkina Faso	BOY	Burkina Faso	OUA
2J	Benin	COO	Togo	LFW
2J	Benin	COO	Burkina Faso	OUA
2J	Senegal	DKR	Mali	BKO
2J	Senegal	DKR	Burkina Faso	OUA
2J	Togo	LFW	Burkina Faso	OUA
2J	Niger	NIM	Burkina Faso	OUA
2J	Burkina Faso	OUA	Cote d'Ivoire	ABJ
2J	Burkina Faso	OUA	Ghana	ACC
2J	Burkina Faso	OUA	Mali	BKO
2J	Burkina Faso	OUA	Burkina Faso	BOY
2J	Burkina Faso	OUA	Benin	COO
2J	Burkina Faso	OUA	Senegal	DKR
2J	Burkina Faso	OUA	Togo	LFW
2J	Burkina Faso	OUA	Niger	NIM
2K	Colombia	BOG	Ecuador	GYE
2K	Colombia	BOG	Ecuador	UIO
2K	Colombia	CLO	Ecuador	GYE
2K	Ecuador	GYE	Colombia	BOG
2K	Ecuador	GYE	Colombia	CLO
2K	Ecuador	GYE	Ecuador	SCY
2K	Ecuador	GYE	Ecuador	UIO
2K	Ecuador	OCC	Ecuador	UIO
2K	Ecuador	SCY	Ecuador	GYE
2K	Ecuador	UIO	Colombia	BOG
2K	Ecuador	UIO	Ecuador	GYE
2K	Ecuador	UIO	Ecuador	OCC
2L	Italy	BDS	Switzerland	ZRH
2L	France	BOD	Switzerland	ZRH
2L	United Kingdom	BRS	Switzerland	ZRH
2L	Switzerland	GVA	Spain	LPA
2L	Cyprus	LCA	Switzerland	ZRH
2L	Spain	LPA	Switzerland	ZRH
2L	Egypt	RMF	Switzerland	ZRH
2L	Spain	TFS	Switzerland	GVA
2L	Switzerland	ZRH	Italy	BDS
2L	Switzerland	ZRH	France	BOD
2L	Switzerland	ZRH	United Kingdom	BRS
2L	Switzerland	ZRH	Cyprus	LCA
2L	Switzerland	ZRH	Spain	LPA
2L	Switzerland	ZRH	Egypt	RMF
2N	Sweden	AJR	Sweden	LYC
2N	Sweden	ARN	Sweden	GEV
2N	Sweden	ARN	Sweden	HAD
2N	Sweden	ARN	Sweden	JKG
2N	Sweden	ARN	Sweden	KRF
2N	Sweden	ARN	Sweden	KSD
2N	Sweden	ARN	Sweden	LYC
2N	Sweden	ARN	Finland	MHQ
2N	Sweden	ARN	Sweden	OER
2N	Sweden	ARN	Finland	POR
2N	Sweden	ARN	Sandefjord	TRF
2N	Sweden	ARN	Sweden	VBY
2N	Sweden	ARN	Sweden	VHM
2N	Sweden	ARN	Sweden	VXO
2N	Sweden	GEV	Sweden	ARN
2N	Sweden	GEV	Sweden	KRF
2N	Sweden	HAD	Sweden	ARN
2N	Sweden	HAD	Sweden	JKG
2N	Sweden	HAD	Sweden	VXO
2N	Sweden	HMV	Sweden	VHM
2N	Sweden	JKG	Sweden	ARN
2N	Sweden	JKG	Sweden	HAD
2N	Finland	KOK	Finland	POR
2N	Sweden	KRF	Sweden	ARN
2N	Sweden	KRF	Sweden	GEV
2N	Sweden	KSD	Sweden	ARN
2N	Sweden	LYC	Sweden	AJR
2N	Sweden	LYC	Sweden	ARN
2N	Finland	MHQ	Sweden	ARN
2N	Finland	MHQ	Finland	TKU
2N	Sweden	OER	Sweden	ARN
2N	Norway	OSL	Sweden	VXO
2N	Finland	POR	Sweden	ARN
2N	Finland	POR	Finland	KOK
2N	Finland	TKU	Finland	MHQ
2N	Sandefjord	TRF	Sweden	ARN
2N	Sweden	VBY	Sweden	ARN
2N	Sweden	VHM	Sweden	ARN
2N	Sweden	VHM	Sweden	HMV
2N	Sweden	VXO	Sweden	ARN
2N	Sweden	VXO	Norway	OSL
2O	United States	ADQ	NA	AOS
2O	United States	ADQ	NA	KKB
2O	United States	ADQ	United States	KLN
2O	United States	ADQ	NA	KOZ
2O	United States	ADQ	NA	OLH
